,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Dominic Solanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaidon Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Kluivert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Semenyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Christie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieffer Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Rothwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milos Kerkez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Senesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mepham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illia Zabarnyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Aarons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michail Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saïd Benrahma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Fornals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thilo Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Paquetá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxwel Cornet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomáš Souček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Palmieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayef Aguerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Zouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimír Coufal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphonse Areola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Isak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callum Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Barnes,likelyReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Longstaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandro Tonali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sven Botman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ollie Watkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youri Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Diaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippe Coutinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boubacar Kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Digne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Mings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezri Konsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden Philogene Bidace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoane Wissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Schade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Mbeumo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaly Janelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Nørgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandon Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathias Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikkel Damsgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathias Jørgensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Pinnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Hickey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mads Roerslev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Flekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richarlison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son Heung-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Perišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejan Kulusevski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Maddison,likelyReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yves Bissouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Skipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pape Matar Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny Udogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micky van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davinson Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guglielmo Vicario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carney Chukwuemeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Maatsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raheem Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykhailo Mudryk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Chilwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesley Ugochukwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levi Colwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Jota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darwin Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Doak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Salah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Gakpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahima Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Rashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott McTominay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Garnacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadon Sancho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Eriksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Pellistri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Lindelöf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphaël Varane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,likelyReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Onana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Cunha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Sarabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hwang Hee-chan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Nunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Lemina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasa Kalajdzic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayan Aït-Nouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
